verb|subjects|objects
χωλεύω|Ἥφαιστος,κνήμη|ἀκμόθετον,πρόσωπον,χείρ,αὐχήν,στῆθος,χιτών,σκῆπτρον,θύραζε,σθένος
μιστύλλω|μῆρα,μῆρα,ἑταῖρος,μῆρα,σπλάγχνον,μῆρα|σπλάγχνον,ἄλλος,ὀβελός,πᾶς,σπλάγχνον,ἄλλος,πᾶς,πᾶς,ὁ,μιν,ὀβελός,πᾶς,ὁ,ὀβελός,πῦρ,ἄλλος,ὀβελός,μέλος,δημός,ὁ,πῦρ,ἄλλος,ὀβελός,πᾶς,ἐλεός,ὁ,μιν,μοῖρα,σπλάγχνον,ἄλλος,ὀβελός,ὀβελός,χείρ,δύο,ἀμφότερος,ὀβελός
προσβαίνω|Ἥρα,θεά,ὁ,τέκτων,ὅς,ὁ,Ἀθήνη,ὁ,Ὀδυσσεύς|Ὄλυμπος,Ζεύς,φόως,ἀθάνατος,κνημός,δρῦς,νεκρός,ἔγχος,δόρυ,ὠτειλή,ὁ,δόρυ,κλῖμαξ,κλείς,θάλαμος,οὐδός,ὁ,στάθμη,σταθμός,θύρα,ἱμάς,κορώνη,κλείς,ὀχεύς,ὄρος,ὕλη,πτύξ,ἀτραπός,χῶρος,ἄκρις,φράζω,ὑφορβός,βίοτος,ὅς
ἀλετρεύω|γυνή,ὁ,φύλλον|ἕ,καρπός,ἱστός,ἠλάκατα
μελαίνω|Ἶρις,ὁ|ὁ,ὅμιλος,ὀδύνη,ἀρόω
διοπτεύω||σύ,ναῦς
ὑφαίνω|ἄγγελος,πόσις,ὁ,ὁ,Μενέλαος,ἀνάγκη,βουλή,βουλή,ὁ,γυνή,ὁ,φύλλον,τις,πατήρ,ἐκεῖνος,ὅς,ἱστός,νύμφη,ὁ,δαίμων,συβώτης,δαίμων,σύ,ὅς,Φαίαξ,τις,ὁ,ἐγώ,ὁ|ἕ,μίμνω,θρόνον,ἆθλος,ὅς,ὁ,δόλος,μῦθος,μῆδος,ἱστός,ὕδωρ,ἔρος,ὁ,ὑφαίνω,μῆτις,ἔρος,ὁ,ὑφαίνω,μῆτις,ἱστός,ἱστός,μῆτις,δόλος,μῆτις,ψυχή,ἕ,καρπός,ἱστός,ἠλάκατα,ἱστός,δαίς,ἱστός,δαίς,ὅς,δεῦρο,κῆπος,Λαέρτης,ὅδε,φρήν,μῆτις,λαός,φθίω,γόνος,φᾶρος,ἱστός,Ὀδυσσεύς,ἐσχατιά,δῶμα,φᾶρος,ἐγώ,φρήν,ἱστός,ὑφαίνω,μνηστήρ,ἱστός,ἱστός,δαίς,σύ,σύ,δεῦρο,μῆτις,χρῆμα,ὅσος,οἴκαδε,κῆδος,ἀνέχω,ἐγώ,δόλος,σχεδία,ἀποβαίνω,μῆτις,αὐτός,ἱστός
ἀποψύχω|ὁ,ὁ,νεβρός,Ὀδυσσεύς|Ἴλιος,ἱδρώς,χιτών,πνοή,ἱδρώς,δίψα,ἔπαλξις,ὁ,ἕ
αἰόλλω|ἀνήρ,πῦρ,ὁ|γαστήρ,ὀπτάω,μνηστήρ,χείρ,ἐφίημι,πολύς
αἰτέω|ὁ,σύ,ὅς,κράτος,ὅς,ἠώς,Ἀφροδίτη,ὁ,Ἅρπυιαι,,μήτηρ,ἐγώ,ἐκεῖνος,ἐγώ,ὁ,θεός|γνύξ,πολύς,ἵππος,μιν,δόρυ,Κρονίων,Τροία,οἰωνός,μιν,ὁ,ναῦς,Ὀθρυονεύς,Κασσάνδρη,Τροία,υἱός,μιν,σῆμα,εἶδον,ὁ,ἕ,Ὄλυμπος,κόρη,τέλος,Ζεύς,κόρη,Ἐρινύς,ἐγώ,μίγνυμι,θεός,ἆθλον,ἀριστεύς,ὁδός,πέμπω,πομπή,σύ,δένδρεον,ὅς,ἐγώ,σύ,ἕκαστος,εἶμι,φώς,χείρ,ναῦς,ποτός,ἐγώ,φαίνω,τέρας
ἀμπέχω|Ὀδυσσεύς,ὅς|χρώς,ἅλμη,νῶτον,ὦμος,κεφαλή,χνόος
μειδιάω|Ἀντίλοχος|ἆθλον,μῦθος,χείρ,ὦμος,τόξον
ὑπερέχω|Ζεύς,λαός,Ζεύς,λαός,ὁ,Διομήδης,Ἀπόλλων,Τρώς,ναῦς,Κρονίων,ἠέλιος,τις,ὅς,σύ,Μενέλαος,Ὀδυσσεύς,ἀστήρ,ὅς,ναῦς,Κρονίων|ἕ,χείρ,ἕ,χείρ,τοιοῦτος,ἀλλήλων,Αἰνείας,ἕ,ὑπερέχω,χείρ,ἔρχομαι,θίς,σύ,ὑπερέχω,χείρ,γαῖα,μάχη,Ζεύς,Ἀθήνη,ἐγώ,χείρ,ἐγώ,ὁδοιπόρος,ἀντιβολέω,τοκεύς,Τρώς,ἵστημι,ὦμος,ὁ,σπλάγχνον,φάος,νῆσος,ἐκεῖνος,ἕ,χείρ
ἐρευνάω|ὁ,κύων,υἱός,ὁ,ὁ|ἄγκος,ἴχνιον,ἴχνιον,τεῦχος,σταθμός
διοιστεύω|Ὀδυσσεύς,οὗτος,ὅς,ὅς,θυμός|ἐνθάδε,τόξον,νευρά,σίδηρος,βιός,πέλεκυς,ὁ,δῶμα,βιός,πέλεκυς,ὁ,δῶμα,ὁ,μιμνήσκω,νευρά,ἐντανύω,διοιστεύω,σίδηρος,μιν,ἐρύω,βία,νευρή,σίδηρος
ὀαρίζω|ὀαρίζω,ὀαρίζω|ὁ,ἀλλήλων,ὁ,ἀλλήλων,στρέφω,γυνή
ἀνακλίνω|πύλη,ὥρα,οὐρανός,Ὄλυμπος,πύλη,Ὡρα,οὐρανός,Ὄλυμπος,ἐγώ,τις,ὅς,ὁ,ὕπνος,ἅψος,ἅψος,Ἐπειός,ἄριστος,ἡγήτωρ,μέδων,γυῖον,ὕπνος|ὁ,γαῖα,ὅς,ὁ,νέφος,ὅς,ὁ,νέφος,ὅδε,θύρα,μιν,ἑρκίον,ἅλς,βλέφαρον,θάνατος,κόρη,ὕπνος,ἵππος,ὅς,ἐγώ,λόχος,δάκρυον,αὐχήν,μιν
συνάγνυμι|ἥρως,λέων,ἄελλα|ἔθνος,νίκη,ἔγχος,ὅς,τέκνον,εὐνή,σφεῖς,ἦτορ,μιν,εἶδον,ναῦς,,ἕ
