word|function|count
Ἴλιος|subj|17
αἶσα|subj|17
ῥεῖθρον|subj|17
Ἄσιος|subj|16
Μέντωρ|subj|16
θώραξ|subj|16
κόμπος|subj|16
σέλας|subj|16
Τληπόλεμος|subj|16
φλόξ|subj|16
ὑφορβός|subj|16
ἰχθύς|subj|16
μέδων|subj|16
φῦλον|subj|16
κασίγνητος|subj|16
Ἰδαῖος|subj|15
θνήσκω|subj|15
ῥινός|subj|15
Χείρων|subj|15
βίοτος|subj|15
χῶρος|subj|15
πύργος|subj|15
ἄτη|subj|15
Ἀμφίνομος|subj|15
κράτος|subj|15
θρίξ|subj|15
βωμός|subj|15
ἀνάγκη|subj|15
ὀστέον|subj|15
Λύκιοι|subj|15
Πάρις|subj|15
ἱδρώς|subj|15
ὅμιλος|subj|15
γάμος|subj|15
ὁδός|subj|15
ὀδύνη|subj|14
βιός|subj|14
Γλαῦκος|subj|14
Εὐρύλοχος|subj|14
γένος|subj|14
κτῆμα|subj|14
σκότος|subj|14
εἷμα|subj|14
ὅρκιον|subj|14
ὄρος|subj|14
μῆτις|subj|14
ἐνιαυτός|subj|14
ἀκτή|subj|14
ἄστρον|subj|14
Βορέας|subj|14
Σκάμανδρος|subj|14
κεφαλή|subj|14
δῆμος|subj|14
ἅρμα|subj|13
χαίτη|subj|13
λίς|subj|13
ὀφθαλμός|subj|13
δράκων|subj|13
βασίλεια|subj|13
Ἀγήνωρ|subj|13
φιλότης|subj|13
φεύγω|subj|13
δεσμός|subj|13
ὁδίτης|subj|13
νεβρός|subj|13
πτωχός|subj|13
πλεῖστος|subj|13
ἔτης|subj|13
θάλαμος|subj|13
Ἐρινύς|subj|13
Καλυψώ|subj|13
ἡνία|subj|13
τρυφάλεια|subj|13
ταῦρος|subj|12
ἕκτωρ|subj|12
γῆ|subj|12
σκέπας|subj|12
Ἀμφιτρίτη|subj|12
σανίς|subj|12
μῆνις|subj|12
Περσεφόνεια|subj|12
Σκύλλα|subj|12
ἀρετή|subj|12
Μενοίτιος|subj|12
λόφος|subj|12
λουτρόν|subj|12
ἄγγελος|subj|12
τράπεζα|subj|12
Νηλεύς|subj|12
σῆμα|subj|12
Ἶρος|subj|12
Μέγης|subj|12
στήλη|subj|12
σάκος|subj|12
ῥόος|subj|12
ἀμφιγύεις|subj|12
στίξ|subj|12
ὀσμή|subj|12
Πηνέλεως|subj|12
λιμός|subj|12
ἤκεστος|subj|12
ἀφρός|subj|12
νέμεσις|subj|12
Λητώ|subj|12
Δολίος|subj|12
οἰνοχόος|subj|12
κομιδή|subj|11
ὅμαδος|subj|11
ἀγός|subj|11
νόημα|subj|11
φόνος|subj|11
οὐδός|subj|11
ἐγχείη|subj|11
ἀρνός|subj|11
δύο|subj|11
πεῖραρ|subj|11
ἐρωή|subj|11
Μέδων|subj|11
νιφάς|subj|11
εἷς|subj|11
νέκυς|subj|11
τείρω|subj|11
παρθένος|subj|11
πάταγος|subj|11
χερείων|subj|11
ὄνειρος|subj|11
κρήνη|subj|11
Τρωιός|subj|11
χιών|subj|11
εἶδον|subj|11
νεφέλη|subj|11
τίς|subj|11
εἶμι|subj|11
πνοή|subj|11
λίθος|subj|11
Θυέστης|subj|10
ἡμίονος|subj|10
παῦρος|subj|10
Δεῖμος|subj|10
νίκη|subj|10
ὀχεύς|subj|10
ζυγόν|subj|10
χάρμη|subj|10
̓ὀδυσσεύς|subj|10
φύλοπις|subj|10
αἴγλη|subj|10
οἶδα|subj|10
πρών|subj|10
δρῦς|subj|10
ἀπάλαλκε|subj|10
μεταλλάω|subj|10
ἔρομαι|subj|10
δύναμις|subj|10
ἱστός|subj|10
χρέος|subj|10
στῆθος|subj|10
Εἰλείθυια|subj|10
βοή|subj|10
βρῶσις|subj|10
Ἀνδρομάχη|subj|10
ἔαρ|subj|10
πήληξ|subj|10
ξίφος|subj|10
ὄις|subj|10
ἀκούω|subj|10
ἀήτης|subj|10
πτώξ|subj|10
ἀμείβω|subj|10
τόσος|subj|10
Χάρις|subj|10
φέρω|subj|10
πῆμα|subj|10
ἀπόλλυμι|subj|9
ἀλοιφή|subj|9
τέκνον|subj|9
Κάλχας|subj|9
ὦμος|subj|9
λιμήν|subj|9
κλαγγή|subj|9
γύψ|subj|9
αἱρέω|subj|9
τελευτή|subj|9
πεδίον|subj|9
δεκάς|subj|9
δωδέκατος|subj|9
νέομαι|subj|9
μέλισσα|subj|9
τανύω|subj|9
παρειά|subj|9
ἑταιρίζω|subj|9
Ναυσικάα|subj|9
κτύπος|subj|9
φίλος|subj|9
ἁλιεύς|subj|9
τοκεύς|subj|9
κόλπος|subj|9
κηδεμών|subj|9
Φοῖνιξ|subj|9
ἔλδωρ|subj|9
κνήμη|subj|9
κειμήλιον|subj|9
οἰκίον|subj|9
κλείς|subj|9
πεζός|subj|9
Πείσανδρος|subj|9
Θρασυμήδης|subj|9
Αὐτόλυκος|subj|9
Εὐρύμαχος|subj|9
ᾍδης|subj|9
Σιμόεις|subj|9
ζεύς|subj|9
κάρηνον|subj|9
πέλεια|subj|9
κόνις|subj|9
Θόας|subj|9
πολίτης|subj|9
κεραυνός|subj|9
παράκοιτις|subj|9
ἀριστεύς|subj|9
εὐχωλή|subj|9
ἕδος|subj|9
ὄνομα|subj|9
κάκη|subj|9
δαιτυμών|subj|9
κάρτος|subj|9
ἔρσα|subj|9
δίδωμι|subj|9
Ἑκάβη|subj|9
νομεύς|subj|9
τέμενος|subj|9
χλαῖνα|subj|9
ῥῆγος|subj|9
μυῖα|subj|9
ὄνθος|subj|8
Ἀλκμήνη|subj|8
ἄγαλμα|subj|8
Ἅρπυιαι|subj|8
Εὐρύκλεια|subj|8
γίγνομαι|subj|8
ἵημι|subj|8
ἔρως|subj|8
ἡγεμών|subj|8
δαιτρός|subj|8
κοῖτος|subj|8
σφήξ|subj|8
ἀοσσητήρ|subj|8
νῆμα|subj|8
γέλως|subj|8
δαμάζω|subj|8
ἀχλύς|subj|8
Σθένελος|subj|8
ἕλκος|subj|8
αἰζηός|subj|8
αἴγειρος|subj|8
πίνω|subj|8
ἀήρ|subj|8
χάρις|subj|8
ὀρυμαγδός|subj|8
Ἰφιδάμας|subj|8
Τυδεύς|subj|8
ῥόπαλον|subj|8
Ξάνθος|subj|8
κεῖμαι|subj|8
γλάγος|subj|8
ἦδος|subj|8
Εὔμηλος|subj|8
ἄκων|subj|8
αἰδώς|subj|8
σκοπός|subj|8
δάω|subj|8
ἔλαιον|subj|8
δάπεδον|subj|8
τίθημι|subj|8
ἀρδμός|subj|8
δόλος|subj|8
κλῆρος|subj|8
Ἱππόλοχος|subj|8
χρυσός|subj|8
Λυκομήδης|subj|8
μέθυ|subj|8
πλείων|subj|8
κονία|subj|8
Ἑκαμήδη|subj|8
Λυκοῦργος|subj|8
Κλυταιμνήστρη|subj|8
ἑκηβόλος|subj|8
ὄργυια|subj|8
Φύλας|subj|8
υἱωνός|subj|8
ὁράω|subj|7
̓ἀθήνη|subj|7
Σειρήν|subj|7
θίς|subj|7
ἕρκος|subj|7
καλέω|subj|7
μήνη|subj|7
Πολυποίτης|subj|7
ὦχρος|subj|7
ὑσμίνη|subj|7
παρέρχομαι|subj|7
Πεισίστρατος|subj|7
θάμβος|subj|7
Κύπρις|subj|7
Πείραιος|subj|7
σφεῖς|subj|7
αἰθήρ|subj|7
αἰγυπιός|subj|7
Ὠκεανός|subj|7
ἀμύνω|subj|7
αὐλή|subj|7
μῆρα|subj|7
φειδώ|subj|7
τοῖχος|subj|7
ἆθλος|subj|7
λέβης|subj|7
σώζω|subj|7
ἤια|subj|7
Φιλοίτιος|subj|7
μελία|subj|7
λέχος|subj|7
πέλαγος|subj|7
φυλακτήρ|subj|7
θείνω|subj|7
Κίκονες|subj|7
ἑνδέκατος|subj|7
δέμνιον|subj|7
θύρετρα|subj|7
δέρμα|subj|7
ἐφέπω|subj|7
στόνος|subj|7
οὖρον|subj|7
φόρμιγξ|subj|7
ἀμφικαλύπτω|subj|7
λόχος|subj|7
ἥμισυς|subj|7
Ἀντήνωρ|subj|7
λοχάω|subj|7
σέβας|subj|7
εἶδος|subj|7
γέρας|subj|7
κυανοχαίτης|subj|7
εὐφροσύνη|subj|7
δέπας|subj|7
ἀνεψιός|subj|7
εὕδω|subj|7
μάντις|subj|7
θηρατήρ|subj|7
ἱέραξ|subj|7
θρῆνυς|subj|7
προίημι|subj|7
Οἰνεύς|subj|7
θάμνος|subj|7
παρέχω|subj|7
κυνέη|subj|7
σπέος|subj|7
λᾶας|subj|7
ζωστήρ|subj|7
Ὀρέστης|subj|7
γόνος|subj|7
ποινή|subj|7
γαστήρ|subj|7
σίδηρος|subj|7
ἥβη|subj|6
μοχλός|subj|6
ἀλλήλων|subj|6
κυδοιμός|subj|6
Ναυσίθοος|subj|6
ἀρχός|subj|6
Κρόνος|subj|6
κολώνη|subj|6
Θεοκλύμενος|subj|6
Ἀγέλαος|subj|6
ἕσπερος|subj|6
Πόλυβος|subj|6
φειδωλή|subj|6
φιλέω|subj|6
μισθός|subj|6
ἀποκρύπτω|subj|6
δίφρος|subj|6
δείελος|subj|6
εὐλή|subj|6
πονέω|subj|6
πίσσα|subj|6
τέρας|subj|6
μεσόδμη|subj|6
δίκη|subj|6
ἄχνη|subj|6
ἀπωθέω|subj|6
δοῦπος|subj|6
Νεστορίδης|subj|6
Εὐρύπυλος|subj|6
νυκτερίς|subj|6
Ταλθύβιος|subj|6
Βρισηίς|subj|6
Τυχίος|subj|6
ἐλπωρή|subj|6
γαλήνη|subj|6
κυβερνήτης|subj|6
ἵστημι|subj|6
ὑπαλύσκω|subj|6
ἄντυξ|subj|6
αἴθρη|subj|6
φῦσα|subj|6
Ἕλενος|subj|6
ἐλαύνω|subj|6
λάχνη|subj|6
σημάντωρ|subj|6
πέλεκυς|subj|6
ἔρδω|subj|6
Δημήτηρ|subj|6
Θερσίτης|subj|6
Πηλείων|subj|6
Ποντόνοος|subj|6
ἀρνειός|subj|6
δίψα|subj|6
Εὐρύαλος|subj|6
Ἁλιθέρσης|subj|6
Φυλείδης|subj|6
οἰμωγή|subj|6
δαίς|subj|6
ἀοιδή|subj|6
σκῆπτρον|subj|6
οὖς|subj|6
πενθέω|subj|6
ἄχθος|subj|6
ἆθλον|subj|6
Ἱπποδάμεια|subj|6
ἀγυιά|subj|6
στόμα|subj|6
πλυνός|subj|6
ἀλωή|subj|6
λειμών|subj|6
Εὔρυτος|subj|6
λείπω|subj|6
κνῖσα|subj|6
κίχλη|subj|6
βρόχος|subj|6
Σιδόνες|subj|6
ἄλη|subj|6
φάρμακον|subj|6
τοιοῦτος|subj|6
Ἄντιφος|subj|6
ἄμαξα|subj|6
νῆσος|subj|6
ἰκμάς|subj|5
λύσσα|subj|5
νικάω|subj|5
ἀλεγύνω|subj|5
ἅλμη|subj|5
Μαχάων|subj|5
αὐδή|subj|5
ῥινόν|subj|5
ἔργω|subj|5
πτολίεθρον|subj|5
Ὑρμίνη|subj|5
Μύρσινος|subj|5
Ἀλήσιον|subj|5
Ἀκάμας|subj|5
φημί|subj|5
θύρα|subj|5
τοιόσδε|subj|5
μίμνω|subj|5
ἅδος|subj|5
ὠθέω|subj|5
Πολίτης|subj|5
εὔκλεια|subj|5
μνῆστις|subj|5
ὄλλυμι|subj|5
τιμή|subj|5
φάτις|subj|5
Ἀγχίσης|subj|5
̓ἀλέξανδρος|subj|5
λοιγός|subj|5
ὑπείκω|subj|5
γνωτός|subj|5
σκοπιά|subj|5
νάπη|subj|5
ἑστία|subj|5
χειμών|subj|5
ἄγγος|subj|5
μόρος|subj|5
ὄναρ|subj|5
ἐφετμή|subj|5
πυγούσιος|subj|5
Ὄλυμπος|subj|5
